title,description,priority
Fix the update in the main module,Description details for update.,NORMAL
Task regarding typo needed for next sprint,Description details for typo.,LOW
Task regarding client complaint needed for next sprint,Description details for client complaint.,HIGH
Task regarding update needed for next sprint,Description details for update.,NORMAL
Please address the update issue ASAP,Description details for update.,NORMAL
Please address the feature issue ASAP,Description details for feature.,NORMAL
We have a refactor reported by the team,Description details for refactor.,NORMAL
Investigate the error on the server,Description details for error.,HIGH
Fix the design in the main module,Description details for design.,NORMAL
We have a performance reported by the team (Low Priority),Description details for performance.,HIGH
Fix the security breach in the main module,Description details for security breach.,URGENT
Investigate the update on the server,Description details for update.,NORMAL
Please address the update issue ASAP,Description details for update.,NORMAL
Fix the refactor in the main module,Description details for refactor.,NORMAL
Investigate the nice to have on the server,Description details for nice to have.,LOW
Investigate the review on the server,Description details for review.,NORMAL
Please address the performance issue ASAP,Description details for performance.,HIGH
Task regarding feature needed for next sprint,Description details for feature.,NORMAL
Task regarding review needed for next sprint,Description details for review.,NORMAL
Task regarding performance needed for next sprint (Low Priority),Description details for performance.,HIGH
Investigate the feature on the server,Description details for feature.,NORMAL
We have a error reported by the team,Description details for error.,HIGH
Please address the design issue ASAP,Description details for design.,NORMAL
Please address the update issue ASAP,Description details for update.,NORMAL
Task regarding timeout needed for next sprint,Description details for timeout.,HIGH
We have a add button reported by the team,Description details for add button.,NORMAL
Please address the performance issue ASAP,Description details for performance.,HIGH
Task regarding feature needed for next sprint,Description details for feature.,NORMAL
Task regarding review needed for next sprint,Description details for review.,NORMAL
Please address the nice to have issue ASAP,Description details for nice to have.,LOW
Investigate the migration on the server,Description details for migration.,NORMAL
Investigate the client complaint on the server,Description details for client complaint.,HIGH
Investigate the nice to have on the server,Description details for nice to have.,LOW
Investigate the performance on the server,Description details for performance.,HIGH
Fix the database in the main module,Description details for database.,HIGH
Investigate the failing tests on the server (Low Priority),Description details for failing tests.,HIGH
Investigate the client complaint on the server,Description details for client complaint.,HIGH
Investigate the documentation on the server,Description details for documentation.,LOW
Please address the nice to have issue ASAP,Description details for nice to have.,LOW
Task regarding feature needed for next sprint,Description details for feature.,NORMAL
Fix the cleanup in the main module,Description details for cleanup.,LOW
Fix the update in the main module,Description details for update.,NORMAL
Fix the client complaint in the main module,Description details for client complaint.,HIGH
We have a design reported by the team,Description details for design.,NORMAL
Fix the database in the main module,Description details for database.,HIGH
Please address the add button issue ASAP,Description details for add button.,NORMAL
Please address the update issue ASAP,Description details for update.,NORMAL
Fix the design in the main module,Description details for design.,NORMAL
Fix the security breach in the main module,Description details for security breach.,URGENT
We have a migration reported by the team,Description details for migration.,NORMAL
Task regarding error needed for next sprint,Description details for error.,HIGH
We have a update reported by the team,Description details for update.,NORMAL
We have a color tweak reported by the team,Description details for color tweak.,LOW
Task regarding color tweak needed for next sprint,Description details for color tweak.,LOW
We have a nice to have reported by the team,Description details for nice to have.,LOW
Investigate the documentation on the server,Description details for documentation.,LOW
Fix the formatting in the main module,Description details for formatting.,LOW
Please address the refactor issue ASAP,Description details for refactor.,NORMAL
Investigate the error on the server,Description details for error.,HIGH
Task regarding client complaint needed for next sprint,Description details for client complaint.,HIGH
We have a data loss reported by the team,Description details for data loss.,URGENT
Task regarding design needed for next sprint,Description details for design.,NORMAL
Fix the add button in the main module,Description details for add button.,NORMAL
Task regarding design needed for next sprint,Description details for design.,NORMAL
We have a client complaint reported by the team,Description details for client complaint.,HIGH
We have a review reported by the team,Description details for review.,NORMAL
Task regarding database needed for next sprint,Description details for database.,HIGH
Please address the update issue ASAP,Description details for update.,NORMAL
Investigate the typo on the server,Description details for typo.,LOW
Please address the cleanup issue ASAP,Description details for cleanup.,LOW
Please address the design issue ASAP,Description details for design.,NORMAL
Investigate the review on the server,Description details for review.,NORMAL
Fix the update in the main module,Description details for update.,NORMAL
Please address the refactor issue ASAP,Description details for refactor.,NORMAL
Task regarding failing tests needed for next sprint,Description details for failing tests.,HIGH
Please address the design issue ASAP,Description details for design.,NORMAL
We have a failing tests reported by the team (Low Priority),Description details for failing tests.,HIGH
Please address the refactor issue ASAP,Description details for refactor.,NORMAL
Fix the review in the main module,Description details for review.,NORMAL
Task regarding production down needed for next sprint,Description details for production down.,URGENT
