title,description,priority,workload,risk
Refactor legacy code,High risk migration required.,HIGH,3,MEDIUM
Weekly status report,High risk migration required.,NORMAL,3,MEDIUM
Refactor legacy code,Just a minor update to the formatting.,LOW,1,LOW
Add new feature button,High risk migration required.,HIGH,1,MEDIUM
Fix crash in production,Just a minor update to the formatting.,URGENT,3,HIGH
Refactor legacy code,High risk migration required.,URGENT,3,HIGH
Update documentation,The system crashes on startup with unknown dependencies.,LOW,20,LOW
Update documentation,Overdue task that blocked the release.,HIGH,5,LOW
Refactor legacy code,Overdue task that blocked the release.,HIGH,10,MEDIUM
Refactor legacy code,Simple styling tweak.,NORMAL,5,MEDIUM
Critical database timeout,Simple styling tweak.,URGENT,20,HIGH
Weekly status report,Just a minor update to the formatting.,LOW,10,LOW
Update documentation,Simple styling tweak.,URGENT,20,HIGH
Critical database timeout,Just a minor update to the formatting.,HIGH,1,HIGH
Critical database timeout,The system crashes on startup with unknown dependencies.,LOW,3,HIGH
Add new feature button,Overdue task that blocked the release.,NORMAL,10,MEDIUM
Add new feature button,Just a minor update to the formatting.,NORMAL,10,MEDIUM
Update documentation,Just a minor update to the formatting.,LOW,5,LOW
Update documentation,The system crashes on startup with unknown dependencies.,HIGH,20,LOW
Refactor legacy code,Just a minor update to the formatting.,HIGH,5,MEDIUM
Refactor legacy code,Just a minor update to the formatting.,HIGH,3,MEDIUM
Add new feature button,Overdue task that blocked the release.,NORMAL,20,MEDIUM
Weekly status report,High risk migration required.,HIGH,3,MEDIUM
Weekly status report,Simple styling tweak.,HIGH,20,MEDIUM
Add new feature button,Just a minor update to the formatting.,NORMAL,3,MEDIUM
Refactor legacy code,Overdue task that blocked the release.,LOW,3,LOW
Fix crash in production,Just a minor update to the formatting.,HIGH,10,HIGH
Weekly status report,High risk migration required.,URGENT,5,HIGH
Refactor legacy code,Simple styling tweak.,HIGH,5,MEDIUM
Critical database timeout,Overdue task that blocked the release.,LOW,5,HIGH
Weekly status report,Just a minor update to the formatting.,URGENT,3,HIGH
Fix crash in production,The system crashes on startup with unknown dependencies.,LOW,20,HIGH
Update documentation,Overdue task that blocked the release.,LOW,3,LOW
Weekly status report,High risk migration required.,LOW,10,LOW
Fix crash in production,Just a minor update to the formatting.,LOW,1,HIGH
Critical database timeout,Just a minor update to the formatting.,HIGH,3,HIGH
Fix crash in production,The system crashes on startup with unknown dependencies.,URGENT,10,HIGH
Weekly status report,Just a minor update to the formatting.,NORMAL,1,MEDIUM
Critical database timeout,Just a minor update to the formatting.,NORMAL,3,HIGH
Add new feature button,Just a minor update to the formatting.,HIGH,10,MEDIUM
Fix crash in production,Overdue task that blocked the release.,NORMAL,10,HIGH
Weekly status report,High risk migration required.,NORMAL,5,MEDIUM
Refactor legacy code,High risk migration required.,LOW,20,LOW
Weekly status report,The system crashes on startup with unknown dependencies.,URGENT,1,HIGH
Add new feature button,Simple styling tweak.,NORMAL,5,MEDIUM
Fix crash in production,High risk migration required.,LOW,20,HIGH
Weekly status report,Simple styling tweak.,HIGH,10,MEDIUM
Fix crash in production,High risk migration required.,LOW,20,HIGH
Update documentation,High risk migration required.,NORMAL,20,LOW
Critical database timeout,The system crashes on startup with unknown dependencies.,LOW,3,HIGH
